,sample,batch
0,A2_10_2022_04_07,20220422_HTN5VDRXY
1,A2_10_2022_04_14,20220429_HTYNFDRXY
2,A2_10_2022_04_21,20220506_HTYK5DRXY
3,A2_10_2022_04_28,20220513_HTLLHDRXY
4,A2_10_2022_05_05,20220520_HTYK7DRXY
5,A2_10_2022_05_12,20220530_HTYKCDRXY
6,A2_10_2022_05_19,20220603_H7WH5DRX2
#7,A2_10_2022_05_28,20220610_H7W3KDRX2
#8,A2_10_2022_06_02,20220617_H7FWCDRX2
#9,A2_10_2022_06_09,20220624_H327YDRX2
#10,A2_10_2022_06_16,20220701_H32LGDRX2
#11,A2_10_2022_06_23,20220708_o28874
#12,A2_10_2022_06_30,20220715_H53L7DRX2
25,B2_10_2022_04_01,20220414_HTNCFDRXY
26,B2_10_2022_04_08,20220422_HTN5VDRXY
27,B2_10_2022_04_15,20220429_HTYNFDRXY
28,B2_10_2022_04_22,20220506_HTYK5DRXY
29,B2_10_2022_04_29,20220513_HTLLHDRXY
30,B2_10_2022_05_06,20220520_HTYK7DRXY
31,B2_10_2022_05_13,20220530_HTYKCDRXY
#32,B2_10_2022_05_20,20220603_H7WH5DRX2
#33,B2_10_2022_05_29,20220610_H7W3KDRX2
#34,B2_10_2022_06_03,20220617_H7FWCDRX2
#35,B2_10_2022_06_10,20220624_H327YDRX2
#36,B2_10_2022_06_17,20220701_H32LGDRX2
#37,B2_10_2022_06_24,20220708_o28874
52,C2_10_2022_04_02,20220414_HTNCFDRXY
53,C2_10_2022_04_09,20220422_HTN5VDRXY
54,C2_10_2022_04_16,20220429_HTYNFDRXY
55,C2_10_2022_04_23,20220506_HTYK5DRXY
56,C2_10_2022_04_30,20220513_HTLLHDRXY
57,C2_10_2022_05_07,20220520_HTYK7DRXY
58,C2_10_2022_05_14,20220530_HTYKCDRXY
#59,C2_10_2022_05_21,20220603_H7WH5DRX2
60,C2_10_2022_05_30,20220610_H7W3KDRX2
#61,C2_10_2022_06_04,20220617_H7FWCDRX2
#62,C2_10_2022_06_11,20220624_H327YDRX2
#63,C2_10_2022_06_18,20220701_H32LGDRX2
#64,C2_10_2022_06_25,20220708_o28874
77,C6_10_2022_05_16,20220603_H7WH5DRX2
78,D2_10_2022_04_03,20220414_HTNCFDRXY
79,D2_10_2022_04_10,20220422_HTN5VDRXY
80,D2_10_2022_04_17,20220429_HTYNFDRXY
81,D2_10_2022_04_24,20220506_HTYK5DRXY
82,D2_10_2022_05_01,20220513_HTLLHDRXY
83,D2_10_2022_05_08,20220520_HTYK7DRXY
84,D2_10_2022_05_15,20220530_HTYKCDRXY
#85,D2_10_2022_05_22,20220603_H7WH5DRX2
86,D2_10_2022_05_31,20220610_H7W3KDRX2
#87,D2_10_2022_06_05,20220617_H7FWCDRX2
#88,D2_10_2022_06_12,20220624_H327YDRX2
#89,D2_10_2022_06_19,20220701_H32LGDRX2
#90,D2_10_2022_06_26,20220708_o28874
103,E2_10_2022_04_04,20220414_HTNCFDRXY
104,E2_10_2022_04_11,20220422_HTN5VDRXY
105,E2_10_2022_04_18,20220429_HTYNFDRXY
106,E2_10_2022_04_25,20220506_HTYK5DRXY
107,E2_10_2022_05_02,20220513_HTLLHDRXY
108,E2_10_2022_05_09,20220520_HTYK7DRXY
#109,E2_10_2022_05_16,20220530_HTYKCDRXY ## no reads found in requested region
#110,E2_10_2022_05_23,20220603_H7WH5DRX2
#111,E2_10_2022_06_06,20220617_H7FWCDRX2
#112,E2_10_2022_06_13,20220624_H327YDRX2
#113,E2_10_2022_06_20,20220701_H32LGDRX2
#114,E2_10_2022_06_27,20220708_o28874
#126,F1_10_2022_05_25,20220610_H7W3KDRX2
127,F2_10_2022_04_05,20220414_HTNCFDRXY
128,F2_10_2022_04_12,20220422_HTN5VDRXY
129,F2_10_2022_04_19,20220429_HTYNFDRXY
130,F2_10_2022_04_26,20220506_HTYK5DRXY
131,F2_10_2022_05_03,20220513_HTLLHDRXY
132,F2_10_2022_05_10,20220520_HTYK7DRXY
#133,F2_10_2022_05_17,20220530_HTYKCDRXY
#134,F2_10_2022_05_24,20220603_H7WH5DRX2
#135,F2_10_2022_06_07,20220617_H7FWCDRX2
#136,F2_10_2022_06_14,20220624_H327YDRX2
#137,F2_10_2022_06_21,20220701_H32LGDRX2
#138,F2_10_2022_06_28,20220708_o28874
#151,G1_10_2022_05_26,20220610_H7W3KDRX2
152,H1_10_2022_04_06,20220422_HTN5VDRXY
153,H1_10_2022_04_13,20220429_HTYNFDRXY
154,H1_10_2022_04_20,20220506_HTYK5DRXY
155,H1_10_2022_04_27,20220513_HTLLHDRXY
156,H1_10_2022_05_04,20220520_HTYK7DRXY
157,H1_10_2022_05_11,20220530_HTYKCDRXY
158,H1_10_2022_05_18,20220603_H7WH5DRX2
#159,H1_10_2022_05_27,20220610_H7W3KDRX2
#160,H1_10_2022_06_01,20220617_H7FWCDRX2
#161,H1_10_2022_06_08,20220624_H327YDRX2
#162,H1_10_2022_06_15,20220701_H32LGDRX2
#163,H1_10_2022_06_22,20220708_o28874
#164,H1_10_2022_06_29,20220715_H53L7DRX2
